Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  320. Wikipedia_handpicked_5:1870_synonym (AskQE: 0.9011, Standard: 0.8380)
  321. Wikipedia_handpicked_5:1871_alteration (AskQE: 0.4813, Standard: 0.7990)
  322. Wikipedia_handpicked_5:1871_synonym (AskQE: 0.7186, Standard: 0.7780)
  323. Wikipedia_handpicked_5:1873_alteration (AskQE: 0.7842, Standard: 0.7910)
  324. Wikipedia_handpicked_5:1873_synonym (AskQE: 0.9880, Standard: 0.8150)
  325. Wikipedia_handpicked_5:1874_alteration (AskQE: 0.9021, Standard: 0.7500)
  326. Wikipedia_handpicked_5:1874_synonym (AskQE: 0.8882, Standard: 0.7720)
  327. Wikipedia_handpicked_5:1875_alteration (AskQE: 0.8432, Standard: 0.7810)
  328. Wikipedia_handpicked_5:1875_synonym (AskQE: 0.8371, Standard: 0.7500)
  329. Wikipedia_handpicked_5:1877_alteration (AskQE: 0.2923, Standard: 0.6860)
  330. Wikipedia_handpicked_5:1877_synonym (AskQE: 0.6922, Standard: 0.7530)
  331. Wikipedia_handpicked_5:1879_alteration (AskQE: 0.5132, Standard: 0.7680)
  332. Wikipedia_handpicked_5:1879_synonym (AskQE: 1.0000, Standard: 0.8150)
  333. Wikipedia_handpicked_5:1880_alteration (AskQE: 0.8206, Standard: 0.8350)
  334. Wikipedia_handpicked_5:1880_synonym (AskQE: 0.9993, Standard: 0.8350)
  335. Wikipedia_handpicked_5:1881_alteration (AskQE: 0.9152, Standard: 0.7050)
  336. Wikipedia_handpicked_5:1881_synonym (AskQE: 0.9769, Standard: 0.7300)
